"state","mmr_per_100000_live_births","ci_95"
"India","88","(75,93)"
"Kerala","18","(0,39)"
"Maharashtra","36","(10,56)"
"Tamil Nadu","38","(9,58)"
"Andhra Pradesh","47","(11,73)"
"Jharkhand","50","(37,157)"
"Telangana","50","(3,80)"
"Gujarat","55","(20,73)"
"Karnataka","58","(12,63)"
"Rajasthan","87","(37,102)"
"Haryana","89","(34,119)"
"Bihar","91","(51,116)"
"Punjab","92","(45,177)"
"Uttarakhand","104","(43,136)"
"West Bengal","105","(65,144)"
"Assam","125","(49,162)"
"Odisha","136","(114,231)"
"Chhattisgarh","141","(46,200)"
"Uttar Pradesh","141","(116,193)"
"Madhya Pradesh","159","(98,182)"
