"indicator","value"
"Total Health Expenditure (Rs crore)","881359"
"THE as % of GDP (new series)","3.37"
"THE per capita (Rs)","6373"
"Government Health Expenditure (Rs crore)","385332"
"GHE as % of THE","43.72"
"GHE as % of GDP (new series)","1.48"
"GHE per capita (Rs)","2786"
"GHE as % of General Government Expenditure","4.89"
"OOPE (Rs crore)","382629"
"OOPE as % of THE","43.41"
"OOPE per capita (Rs)","2767"
"Private health insurance as % of THE","9.19"
"Social security expenditure as % of THE","9.9"
"Preventive care as % of Current Health Expenditure","8.88"
"Curative care (inpatient+outpatient+day) as % of CHE","57.35"
"Pharmaceuticals as % of CHE","29.6"
